<b>Điền mẫu phù hợp:</b><br>日本に来＿＿＿＿です。	<b>Đáp án:</b> たばかり<br><b>Mẫu:</b> ～たばかりだ<br><br><b>Ý nghĩa:</b> Vừa mới làm; cảm nhận là “mới”, không cần đúng thời gian khách quan.<br><br><b>Dịch:</b>  Tôi vừa mới đến Nhật.	jlpt-n2::grammar-105::cloze
<b>Điền mẫu phù hợp:</b><br>＿＿＿＿いないで、勉強しなさい。	<b>Đáp án:</b> 遊んでばかり<br><b>Mẫu:</b> ～てばかり<br><br><b>Ý nghĩa:</b> Chỉ/toàn làm một việc, thường kèm phê bình hoặc mất cân bằng.<br><br><b>Dịch:</b>  Đừng chỉ chơi mãi, hãy học đi.	jlpt-n2::grammar-105::cloze
<b>Điền mẫu phù hợp:</b><br>出発＿＿＿＿だ。	<b>Đáp án:</b> するばかり<br><b>Mẫu:</b> ～るばかりだ<br><br><b>Ý nghĩa:</b> Chỉ còn việc…; tình huống đã sẵn sàng.<br><br><b>Dịch:</b>  Chỉ còn việc xuất phát thôi.	jlpt-n2::grammar-105::cloze
<b>Điền mẫu phù hợp:</b><br>うそをつい＿＿＿＿、信頼を失った。	<b>Đáp án:</b> たばかりに<br><b>Mẫu:</b> ～ばかりに<br><br><b>Ý nghĩa:</b> Chỉ vì… mà dẫn đến kết quả xấu/đáng tiếc.<br><br><b>Dịch:</b>  Chỉ vì nói dối mà mất lòng tin.	jlpt-n2::grammar-105::cloze
<b>Điền mẫu phù hợp:</b><br>先生は＿＿＿＿か。	<b>Đáp án:</b> いらっしゃいます<br><b>Mẫu:</b> いらっしゃる<br><br><b>Ý nghĩa:</b> Kính ngữ của 行く・来る・いる.<br><br><b>Dịch:</b>  Thầy/cô có ở đây không ạ?	jlpt-n2::grammar-105::cloze
<b>Điền mẫu phù hợp:</b><br>社長は会場に＿＿＿＿。	<b>Đáp án:</b> おいでになりました<br><b>Mẫu:</b> おいでになる<br><br><b>Ý nghĩa:</b> Kính ngữ của 行く・来る・いる; khá trang trọng.<br><br><b>Dịch:</b>  Giám đốc đã đến hội trường.	jlpt-n2::grammar-105::cloze
<b>Điền mẫu phù hợp:</b><br>明日そちらへ＿＿＿＿。	<b>Đáp án:</b> 参ります<br><b>Mẫu:</b> 参る（まいる）<br><br><b>Ý nghĩa:</b> Khiêm nhường ngữ của 行く・来る.<br><br><b>Dịch:</b>  Ngày mai tôi sẽ đến chỗ anh/chị.	jlpt-n2::grammar-105::cloze
<b>Điền mẫu phù hợp:</b><br>後でご意見を＿＿＿＿。	<b>Đáp án:</b> 伺います<br><b>Mẫu:</b> 伺う（うかがう）<br><br><b>Ý nghĩa:</b> Khiêm nhường ngữ của 行く・聞く・訪ねる.<br><br><b>Dịch:</b>  Lát nữa tôi sẽ xin ý kiến của anh/chị.	jlpt-n2::grammar-105::cloze
<b>Điền mẫu phù hợp:</b><br>資料を＿＿＿＿。	<b>Đáp án:</b> いただきました<br><b>Mẫu:</b> いただく<br><br><b>Ý nghĩa:</b> Khiêm nhường ngữ của もらう・食べる・飲む.<br><br><b>Dịch:</b>  Tôi đã nhận tài liệu.	jlpt-n2::grammar-105::cloze
<b>Điền mẫu phù hợp:</b><br>先生はもう＿＿＿＿。	<b>Đáp án:</b> お帰りになりました<br><b>Mẫu:</b> お～になる<br><br><b>Ý nghĩa:</b> Mẫu kính ngữ: お＋Vます＋になる; chủ thể là người trên/khách.<br><br><b>Dịch:</b>  Thầy/cô đã về rồi.	jlpt-n2::grammar-105::cloze
